,Age,Income,Loyalty_Score,Prior_Purchases,Avg_Spend,Recency,Browsing_Time,Clicks_On_Promo,Purchase_Frequency,High_Value_Customer,Engagement_Score,Gender_Male,Promotion_Type_Discount,Promotion_Type_FlashSale,Promotion_Type_LoyaltyPoints,Channel_Email,Channel_In_store,Channel_SMS,Time_of_Day_Evening,Time_of_Day_Morning,Will_Buy
0,56,47345.79158758926,23,3,497.298980036152,58,26.29657956205181,3,1.5053208108630192,1,51,1,1,0,0,1,1,1,0,1,0
1,69,38025.5413319232,70,3,294.5931069787569,5,15.821086421712838,4,2.4795969976049648,1,33,0,0,0,0,1,0,0,0,0,0
2,46,29310.21157978209,88,2,263.1338399680743,7,26.68977165995147,2,2.6326163768090964,1,25,1,0,0,0,0,0,0,1,0,0
3,32,39036.04940087121,84,4,479.5778171768243,22,9.96185209980389,4,3.04429318316134,1,18,0,0,1,0,0,1,1,0,1,0
4,60,49503.09540689304,84,9,120.1371654141847,59,1.9553264737994396,3,3.6752673323782696,1,26,1,0,0,1,0,0,0,1,0,0
5,25,76918.36795276681,76,4,135.1569211453617,47,14.331681462926408,2,0.7125288784946039,1,6,1,1,0,1,0,0,0,0,0,0
6,38,42235.83051445743,33,5,413.60663707825256,53,8.168144384054541,6,0.8627942847910246,1,38,0,0,0,1,1,0,0,0,1,0
7,56,53356.81927458348,28,8,167.37398601125395,54,21.485355764311315,1,0.7738661831215133,0,44,1,0,0,1,0,0,0,0,0,0
8,36,49753.65655890872,8,8,409.6521978311871,4,28.71748593039537,0,2.4041764195920967,1,67,0,0,1,0,1,0,0,1,1,0
9,40,67825.89910172127,1,5,172.19006730882614,32,20.76012711943176,1,0.6883157519732044,0,43,0,0,0,0,0,0,0,0,0,0
10,28,87903.98638810433,37,3,64.93443360125067,19,26.619324498305183,1,3.857365700740968,1,6,0,0,0,0,1,1,0,0,0,0
11,28,42036.96840619519,63,9,282.65662574902217,45,13.645418006676069,2,1.5035008146731503,1,78,1,1,0,1,1,1,0,1,0,0
12,41,42658.40836222667,22,2,138.50889535708762,33,23.17205804213952,0,4.726456219804814,0,64,0,0,0,1,0,0,0,0,0,0
13,53,65662.41315603608,70,8,391.030831819612,1,25.30699875648393,5,2.6888168979370013,1,82,0,0,1,1,1,1,0,0,1,0
14,57,60228.37234439467,21,7,338.53983495446664,54,21.35518126474792,4,2.5084658859899074,1,80,0,0,0,1,0,0,1,0,1,0
15,41,77700.6098860405,96,6,465.621200590063,46,15.28254085347998,3,4.012424116877751,1,88,0,0,1,0,0,0,0,1,0,0
16,20,58758.92277988946,35,9,402.3447607695812,41,18.813396677499505,2,3.70919292751846,1,13,0,0,0,0,0,0,1,1,1,0
17,39,44610.61863819411,79,3,131.34917967832706,56,21.04515917079852,1,3.2328906842666427,0,65,0,0,0,1,0,0,0,0,0,0
18,19,58859.82246038464,5,6,410.0712064991584,44,7.667223656320663,2,4.708160178126665,1,38,1,0,1,0,1,0,1,0,0,0
19,41,66630.55370874362,60,7,338.78167016631045,50,24.306419901358044,3,2.4001666744418464,1,64,0,1,1,0,0,0,0,0,1,0
20,61,62307.23271796046,46,7,351.02823879228123,41,28.51470371512147,4,4.138392540975289,1,14,1,0,0,0,0,1,1,1,0,0
21,47,57609.11046660947,50,5,424.5182986865669,8,14.010655523880086,1,2.210418255856183,1,17,1,0,0,0,1,0,0,0,0,0
22,55,66000.1203438373,48,5,308.2208311350231,32,21.061908774985334,0,4.272555534332472,1,77,0,0,0,1,0,0,0,0,0,0
23,19,67539.4338566851,6,1,259.7015814588558,30,22.137074583131582,1,1.6676358303468588,0,13,1,0,0,0,0,0,0,1,0,0
24,38,70732.38486556291,89,7,336.4884659114276,46,19.901201670892263,0,1.8017018277621464,1,73,1,0,0,0,0,0,0,0,0,0
25,50,59730.64831384464,56,4,184.0808430312616,28,16.458741739026202,2,3.5504129030785427,1,6,0,0,0,0,0,0,1,0,1,0
26,29,47493.22879524718,59,7,132.16870898919467,41,26.46127384178684,2,1.4572098272830836,0,6,1,0,0,0,0,0,1,1,1,0
27,39,52200.70529649984,29,5,327.4645271320609,52,13.522908607139945,0,1.5311938416144295,0,94,0,0,1,1,0,0,0,1,0,0
28,61,68097.63449762535,71,5,155.23176608846495,32,1.926978398949447,0,1.8736809305783664,0,37,1,0,0,0,0,0,1,0,0,0
29,42,37745.964935191456,77,3,85.96179920597302,25,25.35223563379359,0,3.555179463471691,0,57,0,0,1,0,0,0,0,0,0,0
30,66,55530.09963309352,18,5,50.24938306336426,34,20.252040042264863,0,4.502246415904543,0,53,1,0,1,0,0,1,1,0,0,0
31,44,44099.91781508959,2,5,323.7437306300302,33,25.492832932339432,2,3.53555443007144,0,46,0,1,1,1,1,0,1,0,1,0
32,59,50431.17234402226,8,4,212.96695256610656,13,4.242568529096359,3,4.225164099548564,0,78,0,0,1,0,0,1,0,1,1,0
33,45,69176.77793910948,75,3,388.5399368030552,25,1.0195129212405185,2,2.9460226536251137,1,4,1,0,1,1,1,1,0,1,1,0
34,33,52866.48602029855,97,3,218.8293792408961,42,28.03779875743679,2,0.8101544960531537,1,34,0,1,1,0,1,0,0,1,1,0
35,32,50696.54822234223,54,5,268.70155170720204,40,4.51707634493217,3,0.952097951788253,0,66,0,0,0,0,1,0,0,0,1,0
36,64,29602.15788530121,38,10,233.1882377669232,39,24.30860472890651,2,2.9947639026511195,0,63,1,0,0,1,0,0,1,0,0,0
37,68,61193.80349040831,48,2,342.75865599920576,56,24.71397727120101,3,1.9751043588894928,1,61,0,1,1,0,1,0,0,0,0,0
38,61,59682.26271711613,27,5,210.2626229067357,44,21.29028549641519,3,1.492556331366242,0,81,0,0,0,0,1,0,1,0,0,0
39,69,82448.8208495819,20,3,483.695442474039,49,4.0247401116768415,3,2.5981561728617937,1,42,1,1,0,0,0,0,0,0,1,0
40,20,45383.32647570499,12,4,471.26614396933854,57,20.055218874368148,2,3.499235334069357,1,78,1,0,1,0,0,0,0,0,0,0
41,54,53287.254914959085,43,6,431.6125561957766,44,26.683688841473284,0,2.2324637648113628,1,64,1,0,0,0,0,0,0,0,0,0
42,68,53740.75525566133,61,3,464.1351217577367,48,12.823396179546409,4,4.111440157208037,1,17,1,0,1,0,0,0,1,0,0,0
43,24,73661.79919645212,31,4,252.112859806726,10,12.464153945920105,1,3.823354609571272,1,61,1,0,0,0,0,1,0,0,1,0
44,38,48570.56701419572,91,4,291.39367855527144,59,13.341463456424629,2,3.8071169697180505,1,30,1,0,0,0,0,0,1,0,1,0
45,26,54185.32288655509,96,5,383.94166665121,57,2.5599295312185726,3,4.933353603548248,1,43,0,0,0,1,0,0,0,0,0,0
46,56,59118.44764574809,61,8,363.2656662223435,31,26.771564513996207,5,1.8285348981723568,1,93,1,0,1,0,1,1,0,0,1,0
47,35,52799.13684734537,74,5,450.8053680224618,44,26.08856763301726,1,3.401265138534028,1,7,1,0,0,0,0,1,0,0,0,0
48,21,43303.49578174208,67,6,372.34896226551285,11,29.93748872152956,2,4.349652530721411,1,73,1,0,1,0,0,0,1,1,1,0
49,42,52911.34989347462,91,3,499.0481187028072,25,17.59697593080256,2,3.1078599526125994,1,46,0,1,0,0,0,0,0,0,0,0
50,31,66104.47624789659,35,4,206.82760992421595,46,22.56062992989644,3,4.052759792519267,1,23,0,1,0,0,0,0,0,1,0,0
51,67,34602.270508834095,95,5,424.84898400773807,54,6.15988999858841,3,2.365034836279605,1,36,0,1,0,1,0,0,0,1,0,0
52,26,51994.54511220314,15,6,363.9356702746989,52,20.05911166490267,1,3.157211055446621,0,14,1,0,0,1,1,0,0,0,0,0
53,43,39498.1877759124,16,7,361.1239003467584,45,19.527012177845982,4,0.7504987676194772,0,20,0,0,0,0,0,0,0,0,1,0
54,19,67925.69943387264,13,5,196.6260176802495,34,27.046141201664213,2,4.93595422621166,1,56,0,0,0,0,0,0,1,0,1,0
55,37,27152.19642824338,35,2,403.5208065903601,59,24.94070241288832,3,4.100083166517877,1,81,0,0,0,0,0,1,0,0,0,0
56,45,41616.17229092617,75,6,455.1692100564196,20,28.16014723227112,1,4.409640822341522,1,32,0,0,0,1,1,0,1,0,0,0
57,64,55658.17812596781,59,4,148.34680768425335,7,26.078120833778065,3,3.6243242516432574,1,25,1,0,1,0,1,0,0,1,1,0
58,24,73482.86043851511,21,2,331.4735767025169,33,26.073947457475672,1,1.3372251476391477,0,94,1,0,0,0,0,1,0,0,0,0
59,61,49013.74608390519,54,4,226.46067309624885,57,2.0053274679926765,1,0.6396279908811452,0,49,1,0,0,0,0,0,0,1,0,0
60,25,41672.00709960202,75,2,495.2966536826947,35,25.39426238560908,1,4.390954734812061,1,57,1,0,0,0,1,0,0,1,0,0
61,64,78217.35604160884,30,3,265.4747671242567,29,18.263603995643237,4,2.2834879418125538,1,27,1,0,1,0,1,0,1,0,1,0
62,52,28279.79149375634,48,4,152.74407820862422,52,11.475289107802238,2,1.6873919421796395,0,27,1,0,1,1,0,1,1,0,1,0
63,31,17017.910650698774,35,7,221.83593134982465,12,1.7897872692030634,0,3.0275283147752496,0,46,0,0,1,0,0,0,0,0,1,0
64,34,56600.216750799984,86,5,344.2272754174818,5,20.362445865564595,1,2.394043351140737,1,95,1,0,0,0,0,0,1,0,0,0
65,53,42469.18663471083,38,5,84.24021710730932,12,9.913232341074762,4,3.4324969805940064,0,45,1,1,1,0,0,1,0,0,1,0
66,67,34681.5077430393,31,7,321.6208640995569,29,14.086510323082438,1,2.6770695487453118,0,26,1,0,1,0,0,0,1,1,0,0
67,57,60625.3467094903,78,9,469.0511416305041,35,20.483680267948515,1,3.637549131981218,1,14,1,1,1,0,0,1,0,0,0,0
68,21,53657.010706567984,24,7,432.6632544460327,20,27.362058956021876,3,4.340404712791143,1,48,1,0,0,1,0,1,0,0,1,0
69,19,41538.82053894908,49,6,80.45309149609251,37,24.780563776589453,0,1.3800065493010507,0,85,0,0,1,0,0,0,0,1,1,0
70,23,30795.434019936583,96,6,497.0254454325807,1,13.572854160197634,1,1.9824479625446907,1,92,0,0,0,0,1,0,0,0,1,0
71,59,63086.859924202174,32,9,364.4271156667456,16,11.694716407646728,1,2.465670139567875,1,15,0,1,0,1,1,1,1,0,1,0
72,21,59753.01766937992,55,2,123.02637094131066,30,7.269414191437018,2,4.829263016124372,0,94,0,0,0,0,0,0,0,0,1,0
73,46,48512.36204330926,79,3,55.58724012624057,9,11.23555986016145,2,2.144001260963684,0,89,0,0,0,0,1,1,0,0,1,0
