,Age,Income,Loyalty_Score,Prior_Purchases,Avg_Spend,Recency,Browsing_Time,Clicks_On_Promo,Purchase_Frequency,High_Value_Customer,Engagement_Score,Gender_Male,Promotion_Type_Discount,Promotion_Type_FlashSale,Promotion_Type_LoyaltyPoints,Channel_Email,Channel_In_store,Channel_SMS,Time_of_Day_Evening,Time_of_Day_Morning,Will_Buy
0,56,40250.40182204795,21,8,104.00582998660131,36,1.8950857587705243,0,2.18624769586552,0,71,1,0,1,0,1,1,0,0,0,0
1,69,64058.35432302274,92,2,387.8736636588505,19,11.80140502714734,0,2.009495329251063,1,33,0,1,1,1,1,0,0,0,1,1
2,46,47575.613818062935,99,4,150.2630790801283,14,14.676729740558953,0,4.969206672014909,1,29,0,0,0,1,1,0,0,0,0,0
3,32,29880.8799347257,86,6,497.43483521181736,14,4.479475726341676,2,4.934970477003315,1,74,0,1,0,0,0,0,0,1,1,1
4,60,28608.117009960544,23,7,125.52418461416411,50,26.044497538708026,1,1.354117813998746,0,10,1,1,0,0,0,0,0,0,1,0
5,25,59092.47635917184,64,5,404.947272004472,29,8.596074382212315,3,3.334761323142525,1,76,1,1,0,0,0,0,0,0,0,1
6,38,27698.43825949496,67,8,367.2700123214905,17,23.511955344150987,1,2.909837389599231,1,67,0,0,0,0,0,1,0,1,0,0
7,56,54746.39109573625,40,9,194.95946426733843,50,20.16273501264665,2,1.1946807105833244,0,3,0,0,0,0,0,0,0,1,0,0
8,36,56669.82778500439,10,3,198.83261460468435,50,17.981570091764002,3,1.255008677469904,0,77,0,1,0,0,1,1,0,0,0,0
9,40,35069.669541139745,89,3,303.5982114351971,37,5.845071176026976,1,4.951632778157996,1,31,0,0,0,1,1,1,1,1,0,0
10,28,63361.07125662336,52,2,433.56834386715127,9,6.69903526447208,4,2.537284971294197,1,27,1,0,0,0,0,0,0,0,1,0
11,28,24233.09564357552,72,5,223.78412485375895,1,1.5157173019224226,1,1.0661058140003308,0,70,1,1,0,1,0,1,0,1,1,0
12,41,54446.88400997838,75,3,77.53094641328295,4,7.297301650489763,2,1.4665551743266445,0,27,0,0,1,0,1,0,0,1,1,0
13,53,49387.130996059874,61,3,218.48862960603356,58,10.42876392286937,1,1.7075663026184733,0,99,0,0,1,0,0,0,0,0,1,0
14,57,48215.0303640366,64,6,143.2907029592336,7,25.01104458548652,4,2.799127684933787,1,9,0,0,0,0,0,0,1,1,0,0
15,41,32331.55035529141,5,6,472.64315767925785,11,11.055140734772678,4,2.009966582778392,1,6,1,1,0,1,1,0,1,1,1,0
16,20,35944.66993400111,53,6,363.7734558691764,14,22.663191304691637,0,2.5475530365046444,1,6,0,1,0,1,0,0,0,0,1,0
17,39,74282.03037530897,55,5,72.87469889600689,42,13.239324210735075,3,1.2492479799561322,0,26,1,0,0,0,1,0,0,0,1,0
18,19,68227.3251330763,37,4,181.8448417681729,19,23.567562528617263,1,1.970279107643778,1,43,1,0,0,0,1,0,0,1,0,0
19,41,61131.26882785698,56,2,72.59718421436312,40,29.29052085306749,2,0.8164246672298932,0,19,0,0,1,0,0,0,0,1,1,0
20,61,64097.72155294532,59,6,423.5075016686537,3,7.271262585921645,0,4.503696230641319,1,16,0,0,1,0,0,0,1,1,1,0
21,47,62690.20317006903,93,5,457.8333808582224,8,25.884014197719896,2,1.394386147258602,1,23,0,0,0,0,1,0,0,0,0,0
