,Age,Income,Loyalty_Score,Prior_Purchases,Avg_Spend,Recency,Browsing_Time,Clicks_On_Promo,Purchase_Frequency,High_Value_Customer,Engagement_Score,Gender_Male,Promotion_Type_Discount,Promotion_Type_FlashSale,Promotion_Type_LoyaltyPoints,Channel_Email,Channel_In_store,Channel_SMS,Time_of_Day_Evening,Time_of_Day_Morning,Will_Buy
0,56,70201.18967961494,26,2,329.2516379385494,23,8.421979407909303,2,3.696961137083912,1,81,0,0,0,0,1,1,1,0,1,0
1,69,51901.897395207045,40,5,238.94131589163808,48,5.490799130057912,2,1.218689429639752,0,51,1,0,0,0,0,0,1,0,1,0
2,46,38605.40929282667,5,5,325.9775060788544,11,27.05688575728088,0,2.657587750629476,0,32,0,0,1,0,1,1,0,0,0,0
3,32,49949.7369551154,21,7,392.7537074273826,58,5.154221739240276,1,2.666772919299345,0,88,1,0,0,0,0,0,0,0,1,0
4,60,48965.29009481312,78,5,295.5663572148268,36,26.499490954956396,0,1.8707531659549252,1,48,1,0,0,0,0,0,0,0,0,0
5,25,11326.76855506262,4,4,332.43365970580453,49,17.210077539456694,3,4.009645924411079,0,8,0,1,0,1,0,0,0,0,0,0
6,38,41579.49711356512,23,5,470.8626414774498,48,26.03678356612692,5,4.666702335678943,1,30,0,0,0,1,1,0,1,0,0,0
7,56,54713.05599425676,84,11,184.5789393239794,51,14.274520085474812,3,3.724576063712676,1,26,1,1,0,0,0,0,0,0,0,0
8,36,43636.76652182321,15,7,211.6237723852789,23,27.8362482124841,0,4.878296298602666,0,24,0,0,0,1,0,0,0,1,0,0
9,40,40306.85957265501,93,6,372.9665127692016,59,6.42357323388967,0,0.7271081198672555,1,27,1,0,0,0,1,0,1,0,0,0
10,28,63670.64293706846,8,3,325.08748267492405,43,16.68528341013351,1,0.6675020829022784,0,79,0,0,1,1,0,0,0,0,1,0
11,28,36251.81262836841,41,0,130.33980704287166,7,3.8625768463587073,1,4.52236404871961,0,92,1,0,0,0,0,1,0,0,0,0
12,41,60674.33975706234,19,10,219.2662895047206,27,13.471886527550692,1,4.540101663634711,1,75,0,0,0,0,0,0,1,0,0,0
13,53,30008.83293817573,46,5,260.52710590612173,13,17.14012052974059,1,0.9820435328954706,0,39,0,1,1,0,0,1,0,1,0,0
